1	80	90	75	70	85	90	Guerrero
2	75	59	73	90	79	90	Duelista
3	52	93	90	26	42	3	Mago
4	73	55	13	1	78	46	Guerrero
5	56	90	81	22	60	49	Mago
6	99	21	4	90	87	94	Guerrero
7	84	63	18	12	79	35	Guerrero
8	77	75	93	67	30	14	Mago
9	63	96	92	28	11	46	Mago
10	11	0	20	89	37	96	Duelista
11	82	9	57	3	88	73	Guerrero
12	21	88	92	28	56	22	Mago
13	30	93	99	40	33	85	Mago
14	89	85	32	1	96	71	Guerrero
15	15	15	15	94	15	89	Duelista
16	97	4	80	9	82	54	Guerrero
17	99	40	66	1	84	38	Guerrero
18	23	85	84	66	1	34	Mago
19	19	50	28	89	40	90	Duelista
20	32	71	41	84	16	82	Duelista
21	78	53	11	30	86	23	Guerrero
